#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.24090.11
 	Engine version: 1.1.24090.11
 	Network Realtime Inspection engine version: 1.1.24090.11
 	Antivirus security intelligence version: 1.421.767.0
 	Antispyware security intelligence version: 1.421.767.0
 	Network Realtime Inspection security intelligence version: 1.421.767.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus security intelligence age: 0
 	Antispyware security intelligence age: 0
 	Last quick scan age: 2
 	Last full scan age: 4294967295
 	Antivirus security intelligence creation time: 2024-12-12T22:55:18Z
 	Antispyware security intelligence creation time: 2024-12-12T22:55:20Z
 	Last quick scan start time: 2024-12-11T10:53:24Z
 	Last quick scan end time: 2024-12-11T10:54:35Z
 	Last quick scan source: 2
 	Last full scan start time: 1601-01-01T00:00:00Z
 	Last full scan end time: 1601-01-01T00:00:00Z
 	Last full scan source: 0
 	Product status: 0x00080000
","1151","0",,"4","0","0","-9223372036854775808","3786","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","5812","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 10:37:57 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.24090.11
 	Engine version: 1.1.24090.11
 	Security intelligence version: 1.421.767.0
","1150","0",,"4","0","0","-9223372036854775808","3785","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","5812","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 10:37:57 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Microsoft Defender Antivirus used cloud protection to get additional security intelligence.
 	Current security intelligence Version: 1.421.767.0
 	Security intelligence Type: 
 	User: \
 	Current Engine Version: 1.1.24090.11
 	Cloud protection intelligence Type: Security intelligence update
 	Persistence Path: C:\ProgramData\Microsoft\Windows Defender\Scans\RtSigs\data\6a62797c835399d0b586ca42808792fa0e9a6def
 	Cloud protection intelligence Version: 0.0.0.0
 	Cloud protection intelligence Compilation Timestamp: 12/13/2024 4:53:25 PM
 	Persistence Limit Type: Duration
 	Persistence Limit: 288000000","2010","0",,"4","0","0","-9223372036854775808","3784","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","12592","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 10:23:24 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Microsoft Defender Antivirus has taken action to protect this machine from malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Fauppod!ml&threatid=2147850413&enterprise=0
 	Name: Trojan:Win32/Fauppod!ml
 	ID: 2147850413
 	Severity: Severe
 	Category: Trojan
 	Path: file:_C:\Users\user\Downloads\APT-Hunter-main.zip; webfile:_C:\Users\user\Downloads\APT-Hunter-main.zip|https://codeload.github.com/ahmedkhlief/APT-Hunter/zip/refs/heads/main|pid:17076,ProcessStart:133785821182127129
 	Detection Origin: Internet
 	Detection Type: FastPath
 	Detection Source: Downloads and attachments
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Action: Quarantine
 	Action Status:  No additional actions required
 	Error Code: 0x00000000
 	Error description: The operation completed successfully. 
 	Security intelligence Version: AV: 1.421.767.0, AS: 1.421.767.0, NIS: 1.421.767.0
 	Engine Version: AM: 1.1.24090.11, NIS: 1.1.24090.11","1117","0",,"4","0","0","-9223372036854775808","3783","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","16936","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 10:18:44 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Microsoft Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Fauppod!ml&threatid=2147850413&enterprise=0
 	Name: Trojan:Win32/Fauppod!ml
 	ID: 2147850413
 	Severity: Severe
 	Category: Trojan
 	Path: file:_C:\Users\user\Downloads\APT-Hunter-main.zip; webfile:_C:\Users\user\Downloads\APT-Hunter-main.zip|https://codeload.github.com/ahmedkhlief/APT-Hunter/zip/refs/heads/main|pid:17076,ProcessStart:133785821182127129
 	Detection Origin: Internet
 	Detection Type: FastPath
 	Detection Source: Downloads and attachments
 	User: DESKTOP-3HO80GL\user
 	Process Name: Unknown
 	Security intelligence Version: AV: 1.421.767.0, AS: 1.421.767.0, NIS: 1.421.767.0
 	Engine Version: AM: 1.1.24090.11, NIS: 1.1.24090.11","1116","0",,"3","0","0","-9223372036854775808","3782","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","16936","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 10:18:40 PM","0d4a5994-d384-4d46-ad0e-48d9ddc06af1",,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Microsoft Defender Antivirus used cloud protection to get additional security intelligence.
 	Current security intelligence Version: 1.421.767.0
 	Security intelligence Type: 
 	User: \
 	Current Engine Version: 1.1.24090.11
 	Cloud protection intelligence Type: Security intelligence update
 	Persistence Path: C:\ProgramData\Microsoft\Windows Defender\Scans\RtSigs\data\6a3fc98c41383e47f200b28d855b9e0944d59c58
 	Cloud protection intelligence Version: 1.421.767.1
 	Cloud protection intelligence Compilation Timestamp: 12/13/2024 4:48:40 PM
 	Persistence Limit Type: VDM version
 	Persistence Limit: 1.421.767.1","2010","0",,"4","0","0","-9223372036854775808","3781","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","5500","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 10:18:39 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Microsoft Defender Antivirus Configuration has changed. If this is an unexpected event you should review the settings as this may be the result of malware.
 	Old value: HKLM\SOFTWARE\Microsoft\Windows Defender\UX Configuration\ToastOrSsoTrigger = 0x0
 	New value: HKLM\SOFTWARE\Microsoft\Windows Defender\UX Configuration\ToastOrSsoTrigger = 0x1","5007","0",,"4","0","0","-9223372036854775808","3780","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","10348","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 10:11:53 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Microsoft Defender Antivirus scan has been stopped before completion.
 	Scan ID: {B08BD33D-B625-4468-A9DF-556B7D409DCC}
 	Scan Type: Antimalware
 	Scan Parameters: Quick Scan
  	User: NT AUTHORITY\SYSTEM","1002","0",,"3","0","0","-9223372036854775808","3779","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","1020","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 7:41:46 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Microsoft Defender Antivirus scan has started.
 	Scan ID: {B08BD33D-B625-4468-A9DF-556B7D409DCC}
 	Scan Type: Antimalware
 	Scan Parameters: Quick Scan
 	Scan Resources: 
 	User: NT AUTHORITY\SYSTEM","1000","0",,"4","0","0","-9223372036854775808","3778","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","1020","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 7:41:46 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.24090.11
 	Engine version: 1.1.24090.11
 	Network Realtime Inspection engine version: 1.1.24090.11
 	Antivirus security intelligence version: 1.421.767.0
 	Antispyware security intelligence version: 1.421.767.0
 	Network Realtime Inspection security intelligence version: 1.421.767.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus security intelligence age: 0
 	Antispyware security intelligence age: 0
 	Last quick scan age: 2
 	Last full scan age: 4294967295
 	Antivirus security intelligence creation time: 2024-12-12T22:55:18Z
 	Antispyware security intelligence creation time: 2024-12-12T22:55:20Z
 	Last quick scan start time: 2024-12-11T10:53:24Z
 	Last quick scan end time: 2024-12-11T10:54:35Z
 	Last quick scan source: 2
 	Last full scan start time: 1601-01-01T00:00:00Z
 	Last full scan end time: 1601-01-01T00:00:00Z
 	Last full scan source: 0
 	Product status: 0x00080000
","1151","0",,"4","0","0","-9223372036854775808","3777","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","6864","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 7:07:57 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.24090.11
 	Engine version: 1.1.24090.11
 	Security intelligence version: 1.421.767.0
","1150","0",,"4","0","0","-9223372036854775808","3776","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","6864","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 7:07:57 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.24090.11
 	Engine version: 1.1.24090.11
 	Network Realtime Inspection engine version: 1.1.24090.11
 	Antivirus security intelligence version: 1.421.767.0
 	Antispyware security intelligence version: 1.421.767.0
 	Network Realtime Inspection security intelligence version: 1.421.767.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus security intelligence age: 0
 	Antispyware security intelligence age: 0
 	Last quick scan age: 2
 	Last full scan age: 4294967295
 	Antivirus security intelligence creation time: 2024-12-12T22:55:18Z
 	Antispyware security intelligence creation time: 2024-12-12T22:55:20Z
 	Last quick scan start time: 2024-12-11T10:53:24Z
 	Last quick scan end time: 2024-12-11T10:54:35Z
 	Last quick scan source: 2
 	Last full scan start time: 1601-01-01T00:00:00Z
 	Last full scan end time: 1601-01-01T00:00:00Z
 	Last full scan source: 0
 	Product status: 0x00080000
","1151","0",,"4","0","0","-9223372036854775808","3775","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","12248","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 6:07:57 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.24090.11
 	Engine version: 1.1.24090.11
 	Security intelligence version: 1.421.767.0
","1150","0",,"4","0","0","-9223372036854775808","3774","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","12248","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 6:07:57 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.24090.11
 	Engine version: 1.1.24090.11
 	Network Realtime Inspection engine version: 1.1.24090.11
 	Antivirus security intelligence version: 1.421.767.0
 	Antispyware security intelligence version: 1.421.767.0
 	Network Realtime Inspection security intelligence version: 1.421.767.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus security intelligence age: 0
 	Antispyware security intelligence age: 0
 	Last quick scan age: 2
 	Last full scan age: 4294967295
 	Antivirus security intelligence creation time: 2024-12-12T22:55:18Z
 	Antispyware security intelligence creation time: 2024-12-12T22:55:20Z
 	Last quick scan start time: 2024-12-11T10:53:24Z
 	Last quick scan end time: 2024-12-11T10:54:35Z
 	Last quick scan source: 2
 	Last full scan start time: 1601-01-01T00:00:00Z
 	Last full scan end time: 1601-01-01T00:00:00Z
 	Last full scan source: 0
 	Product status: 0x00080000
","1151","0",,"4","0","0","-9223372036854775808","3773","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","2700","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 5:07:57 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.24090.11
 	Engine version: 1.1.24090.11
 	Security intelligence version: 1.421.767.0
","1150","0",,"4","0","0","-9223372036854775808","3772","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","2700","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 5:07:57 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Microsoft Defender Antivirus used cloud protection to get additional security intelligence.
 	Current security intelligence Version: 1.421.767.0
 	Security intelligence Type: 
 	User: \
 	Current Engine Version: 1.1.24090.11
 	Cloud protection intelligence Type: Security intelligence update
 	Persistence Path: C:\ProgramData\Microsoft\Windows Defender\Scans\RtSigs\data\625fdf19497a7daa1cc47b35986c0159d6b6c5b4
 	Cloud protection intelligence Version: 0.0.0.0
 	Cloud protection intelligence Compilation Timestamp: 12/13/2024 10:46:09 AM
 	Persistence Limit Type: Duration
 	Persistence Limit: 864000000","2010","0",,"4","0","0","-9223372036854775808","3771","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","6864","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 4:16:09 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Microsoft Defender Antivirus Configuration has changed. If this is an unexpected event you should review the settings as this may be the result of malware.
 	Old value: HKLM\SOFTWARE\Microsoft\Windows Defender\UX Configuration\ToastOrSsoTrigger = 0x1
 	New value: HKLM\SOFTWARE\Microsoft\Windows Defender\UX Configuration\ToastOrSsoTrigger = 0x0","5007","0",,"4","0","0","-9223372036854775808","3770","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","5500","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 4:12:46 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.24090.11
 	Engine version: 1.1.24090.11
 	Network Realtime Inspection engine version: 1.1.24090.11
 	Antivirus security intelligence version: 1.421.767.0
 	Antispyware security intelligence version: 1.421.767.0
 	Network Realtime Inspection security intelligence version: 1.421.767.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus security intelligence age: 0
 	Antispyware security intelligence age: 0
 	Last quick scan age: 1
 	Last full scan age: 4294967295
 	Antivirus security intelligence creation time: 2024-12-12T22:55:18Z
 	Antispyware security intelligence creation time: 2024-12-12T22:55:20Z
 	Last quick scan start time: 2024-12-11T10:53:24Z
 	Last quick scan end time: 2024-12-11T10:54:35Z
 	Last quick scan source: 2
 	Last full scan start time: 1601-01-01T00:00:00Z
 	Last full scan end time: 1601-01-01T00:00:00Z
 	Last full scan source: 0
 	Product status: 0x00080000
","1151","0",,"4","0","0","-9223372036854775808","3769","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","14756","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 12:00:42 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.24090.11
 	Engine version: 1.1.24090.11
 	Security intelligence version: 1.421.767.0
","1150","0",,"4","0","0","-9223372036854775808","3768","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","14756","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 12:00:42 PM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Microsoft Defender Antivirus used cloud protection to get additional security intelligence.
 	Current security intelligence Version: 1.421.767.0
 	Security intelligence Type: 
 	User: \
 	Current Engine Version: 1.1.24090.11
 	Cloud protection intelligence Type: Security intelligence update
 	Persistence Path: C:\ProgramData\Microsoft\Windows Defender\Scans\RtSigs\data\4db4379c55ca282d2995fa8e224588bef28b9a60
 	Cloud protection intelligence Version: 0.0.0.0
 	Cloud protection intelligence Compilation Timestamp: 12/13/2024 6:01:51 AM
 	Persistence Limit Type: Duration
 	Persistence Limit: 288000000","2010","0",,"4","0","0","-9223372036854775808","3767","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","14756","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 11:31:52 AM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Microsoft Defender Antivirus used cloud protection to get additional security intelligence.
 	Current security intelligence Version: 1.421.767.0
 	Security intelligence Type: 
 	User: \
 	Current Engine Version: 1.1.24090.11
 	Cloud protection intelligence Type: Security intelligence update
 	Persistence Path: C:\ProgramData\Microsoft\Windows Defender\Scans\RtSigs\data\2608bc43ee8d024e4410b6b730691ec6abb80331
 	Cloud protection intelligence Version: 0.0.0.0
 	Cloud protection intelligence Compilation Timestamp: 12/13/2024 6:01:50 AM
 	Persistence Limit Type: Duration
 	Persistence Limit: 288000000","2010","0",,"4","0","0","-9223372036854775808","3766","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","12416","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 11:31:51 AM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Microsoft Defender Antivirus Configuration has changed. If this is an unexpected event you should review the settings as this may be the result of malware.
 	Old value: HKLM\SOFTWARE\Microsoft\Windows Defender\UX Configuration\ToastOrSsoTrigger = 0x0
 	New value: HKLM\SOFTWARE\Microsoft\Windows Defender\UX Configuration\ToastOrSsoTrigger = 0x1","5007","0",,"4","0","0","-9223372036854775808","3765","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","18636","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 11:20:28 AM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.24090.11
 	Engine version: 1.1.24090.11
 	Network Realtime Inspection engine version: 1.1.24090.11
 	Antivirus security intelligence version: 1.421.767.0
 	Antispyware security intelligence version: 1.421.767.0
 	Network Realtime Inspection security intelligence version: 1.421.767.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus security intelligence age: 0
 	Antispyware security intelligence age: 0
 	Last quick scan age: 1
 	Last full scan age: 4294967295
 	Antivirus security intelligence creation time: 2024-12-12T22:55:18Z
 	Antispyware security intelligence creation time: 2024-12-12T22:55:20Z
 	Last quick scan start time: 2024-12-11T10:53:24Z
 	Last quick scan end time: 2024-12-11T10:54:35Z
 	Last quick scan source: 2
 	Last full scan start time: 1601-01-01T00:00:00Z
 	Last full scan end time: 1601-01-01T00:00:00Z
 	Last full scan source: 0
 	Product status: 0x00080000
","1151","0",,"4","0","0","-9223372036854775808","3764","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","19320","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 10:33:20 AM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.24090.11
 	Engine version: 1.1.24090.11
 	Security intelligence version: 1.421.767.0
","1150","0",,"4","0","0","-9223372036854775808","3763","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","19320","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 10:33:20 AM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Microsoft Defender Antivirus Configuration has changed. If this is an unexpected event you should review the settings as this may be the result of malware.
 	Old value: HKLM\SOFTWARE\Microsoft\Windows Defender\CoreService\WdConfigHash = 0xB941C406
 	New value: HKLM\SOFTWARE\Microsoft\Windows Defender\CoreService\WdConfigHash = 0x16B6AF0","5007","0",,"4","0","0","-9223372036854775808","3762","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","4876","17796","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 10:19:09 AM",,,"Microsoft-Windows-Windows Defender/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
